Feat0_Num0.th0,Feat0_Num0.th1,Feat0_Num0.th2,Feat0_Num0.th3,Feat0_Num0.th4,Feat0_Num0.th5,Feat0_Num0.th6,Feat0_Num0.th7,Feat0_Num0.th8,Feat0_Num0.th9,Feat0_Num0.th10,Feat0_Num0.th11,Feat0_Num0.th12,Feat0_Num0.th13,Feat0_Num0.th14,Feat0_Num0.th15,Feat0_Num0.th16,Feat0_Num0.th17,Feat0_Num0.th18,Feat0_Num0.th19,Feat0_Num0.th20,Feat0_Num0.th21,Feat0_Num0.th22,Feat0_Num0.th23,Feat0_Num0.th24,Feat0_Num0.th25,Feat0_Num0.th26,Feat0_Num0.th27,Feat0_Num0.th28,Feat0_Num0.th29,Feat0_Num0.th30,Feat0_Num0.th31,Feat0_Num0.th32,Feat0_Num0.th33,Feat1_Num0.th0,Feat1_Num0.th1,Feat1_Num0.th2,Feat1_Num0.th3,Feat1_Num0.th4,Feat1_Num0.th5,Feat1_Num0.th6,Feat1_Num0.th7,Feat1_Num0.th8,Feat1_Num0.th9,Feat1_Num0.th10,Feat1_Num0.th11,Feat1_Num0.th12,Feat1_Num0.th13,Feat1_Num0.th14,Feat1_Num0.th15,Feat1_Num0.th16,Feat1_Num0.th17,Feat1_Num0.th18,Feat1_Num0.th19,Feat1_Num0.th20,Feat1_Num0.th21,Feat2_Num0.th0,Feat2_Num0.th1,Feat2_Num0.th2,Feat2_Num0.th3,Feat2_Num0.th4,Feat2_Num0.th5,Feat2_Num0.th6,Feat2_Num0.th7,Feat2_Num0.th8,Feat2_Num0.th9,Feat2_Num0.th10,Feat2_Num0.th11,Feat2_Num0.th12,Feat2_Num0.th13,Feat2_Num0.th14,Feat2_Num0.th15,Feat2_Num0.th16,Feat2_Num0.th17,Feat2_Num0.th18,Feat2_Num0.th19,Feat2_Num0.th20,Feat2_Num0.th21,Feat2_Num0.th22,Feat2_Num0.th23,Feat2_Num0.th24,Feat2_Num0.th25,Feat2_Num0.th26,Feat2_Num0.th27,Feat2_Num0.th28,Feat2_Num0.th29,Feat2_Num0.th30,Feat2_Num0.th31,Feat2_Num0.th32,Feat2_Num0.th33,Feat2_Num0.th34,Feat2_Num0.th35,Feat2_Num0.th36,Feat2_Num0.th37,Feat2_Num0.th38,Feat2_Num0.th39,Feat2_Num0.th40,Feat2_Num0.th41,Feat3_Num0.th0,Feat3_Num0.th1,Feat3_Num0.th2,Feat3_Num0.th3,Feat3_Num0.th4,Feat3_Num0.th5,Feat3_Num0.th6,Feat3_Num0.th7,Feat3_Num0.th8,Feat3_Num0.th9,Feat3_Num0.th10,Feat3_Num0.th11,Feat3_Num0.th12,Feat3_Num0.th13,Feat3_Num0.th14,Feat3_Num0.th15,Feat3_Num0.th16,Feat3_Num0.th17,Feat3_Num0.th18,Feat3_Num0.th19,Feat3_Num0.th20,target
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
